ticker,date,MOM,date_tuple,date_dt,signal,LS_Return,SS_Return,adjStrikePrice,callPrice,putPrice,weightCall,weightPut,entry,expirationDate
TSLA,2021-03-19,0.209098009,"(2021, 3)",2021-03-01 00:00:00,LS,0.062146633,-0.062146633,233.3333333,10.6,25.34166667,0.602080285,0.397919715,16.46599981,2021-04-16
BABA,2021-04-16,0.022610805,"(2021, 4)",2021-04-01 00:00:00,SS,-0.073564784,0.073564784,250,5.125,16.575,0.662077728,0.337922272,8.994210011,2021-05-21
INTC,2021-04-16,0.018526946,"(2021, 4)",2021-04-01 00:00:00,SS,-0.00109308,0.00109308,65,2.38,2.905,0.509242734,0.490757266,2.637647565,2021-05-21
MARA,2021-04-16,0.564589239,"(2021, 4)",2021-04-01 00:00:00,LS,-0.326536729,0.326536729,60,2.475,23.525,0.735032558,0.264967442,8.052564657,2021-05-21
MSTR,2021-04-16,0.214555768,"(2021, 4)",2021-04-01 00:00:00,LS,-0.284800673,0.284800673,75,5.85,11.525,0.547986612,0.452013388,8.415175976,2021-05-21
NFLX,2021-04-16,0.035027126,"(2021, 4)",2021-04-01 00:00:00,SS,-0.020760075,0.020760075,575,14.3,42.975,0.646506314,0.353493686,24.43643144,2021-05-21
TSLA,2021-04-16,0.21517227,"(2021, 4)",2021-04-01 00:00:00,LS,-0.118713355,0.118713355,221.6666667,33.79166667,8.883333333,0.264516368,0.735483632,15.47199519,2021-05-21
BABA,2021-05-21,0.014565202,"(2021, 5)",2021-05-01 00:00:00,SS,0.059915712,-0.059915712,220,3.525,12.4,0.677325062,0.322674938,6.388740075,2021-06-18
INTC,2021-05-21,0.013499996,"(2021, 5)",2021-05-01 00:00:00,SS,-0.017157386,0.017157386,57.5,0.925,2.375,0.633100527,0.366899473,1.457004235,2021-06-18
MARA,2021-05-21,0.618471325,"(2021, 5)",2021-05-01 00:00:00,LS,0.266453185,-0.266453185,29,1.095,9.175,0.737378186,0.262621814,3.216984256,2021-06-18
MSTR,2021-05-21,0.199545429,"(2021, 5)",2021-05-01 00:00:00,LS,0.413829678,-0.413829678,55,1.525,11.385,0.748675055,0.251324945,4.003063957,2021-06-18
NFLX,2021-05-21,0.02138995,"(2021, 5)",2021-05-01 00:00:00,SS,0.050516798,-0.050516798,520,5.975,27.8,0.718947731,0.281052269,12.10896577,2021-06-18
TSLA,2021-05-21,0.169413689,"(2021, 5)",2021-05-01 00:00:00,LS,0.087136165,-0.087136165,210,4.825,21.23333333,0.697124464,0.302875536,9.794682755,2021-06-18
BABA,2021-06-18,0.014139998,"(2021, 6)",2021-06-01 00:00:00,SS,-0.139295893,0.139295893,210,7.25,4.675,0.423849421,0.576150579,5.76641226,2021-07-16
INTC,2021-06-18,-0.000693342,"(2021, 6)",2021-06-01 00:00:00,SS,-0.043106571,0.043106571,57.5,0.95,2.55,0.660716611,0.339283389,1.492853422,2021-07-16
MARA,2021-06-18,0.546687372,"(2021, 6)",2021-06-01 00:00:00,LS,-0.11922261,0.11922261,35,1.48,7.55,0.689226216,0.310773784,3.366396871,2021-07-16
MSTR,2021-06-18,0.197978489,"(2021, 6)",2021-06-01 00:00:00,LS,-0.057925337,0.057925337,69,4.095,8.965,0.574152493,0.425847507,6.168877358,2021-07-16
NFLX,2021-06-18,0.019988765,"(2021, 6)",2021-06-01 00:00:00,SS,-0.020143533,0.020143533,520,6.525,24.85,0.699158817,0.300841183,12.03791468,2021-07-16
TSLA,2021-06-18,0.168886988,"(2021, 6)",2021-06-01 00:00:00,LS,0.011035013,-0.011035013,228.3333333,3.816666667,24,0.749805456,0.250194544,8.86642654,2021-07-16
BABA,2021-07-16,0.003809577,"(2021, 7)",2021-07-01 00:00:00,SS,-0.144475467,0.144475467,205,11.7,4.775,0.343652669,0.656347331,7.154794731,2021-08-20
INTC,2021-07-16,0.003685837,"(2021, 7)",2021-07-01 00:00:00,SS,0.012819386,-0.012819386,55,2.165,2.47,0.497146422,0.502853578,2.318370341,2021-08-20
MARA,2021-07-16,0.48972964,"(2021, 7)",2021-07-01 00:00:00,LS,0.469051613,-0.469051613,29,1.425,6.975,0.680641535,0.319358465,3.197439483,2021-08-20
MSTR,2021-07-16,0.176608229,"(2021, 7)",2021-07-01 00:00:00,LS,0.109086836,-0.109086836,60,2.74,10.51,0.654841225,0.345158775,5.421883682,2021-08-20
NFLX,2021-07-16,0.010453829,"(2021, 7)",2021-07-01 00:00:00,SS,0.099734711,-0.099734711,540,19.125,28.85,0.543479087,0.456520913,23.56466588,2021-08-20
PLTR,2021-07-16,0.218032369,"(2021, 7)",2021-07-01 00:00:00,LS,0.213265999,-0.213265999,23,0.795,2.415,0.640597082,0.359402918,1.377232727,2021-08-20
AMZN,2021-08-20,0.009603623,"(2021, 8)",2021-08-01 00:00:00,SS,-0.053519875,0.053519875,165.75,1.49875,7.23,0.72400223,0.27599777,3.08056222,2021-09-17
BABA,2021-08-20,-0.00562963,"(2021, 8)",2021-08-01 00:00:00,SS,-0.113419919,0.113419919,160,10.4,12.55,0.493837622,0.506162378,11.48824911,2021-09-17
MARA,2021-08-20,0.402064438,"(2021, 8)",2021-08-01 00:00:00,LS,-0.221977157,0.221977157,40,2.47,7.175,0.609039683,0.390960317,4.30946829,2021-09-17
MSTR,2021-08-20,0.209902185,"(2021, 8)",2021-08-01 00:00:00,LS,-0.166931108,0.166931108,80,3.415,11.86,0.645395325,0.354604675,6.409636478,2021-09-17
NFLX,2021-08-20,0.008285448,"(2021, 8)",2021-08-01 00:00:00,SS,0.072296153,-0.072296153,570,6.3,28.85,0.719978807,0.280021193,12.6144779,2021-09-17
PLTR,2021-08-20,0.210315934,"(2021, 8)",2021-08-01 00:00:00,LS,-0.087319041,0.087319041,25,0.815,1.82,0.60056808,0.39943192,1.21642908,2021-09-17
AMZN,2021-09-17,-0.001594765,"(2021, 9)",2021-09-01 00:00:00,SS,0.026602915,-0.026602915,175,2.955,4.775,0.566894747,0.433105253,3.743251561,2021-10-15
BABA,2021-09-17,-0.031334328,"(2021, 9)",2021-09-01 00:00:00,SS,0.11408437,-0.11408437,170,3.925,13.95,0.670647768,0.329352232,7.22675613,2021-10-15
MARA,2021-09-17,0.371073848,"(2021, 9)",2021-09-01 00:00:00,LS,0.654209092,-0.654209092,40,2.15,6.3,0.61713654,0.38286346,3.738883358,2021-10-15
SOFI,2021-09-17,0.100611965,"(2021, 9)",2021-09-01 00:00:00,LS,0.265114307,-0.265114307,15,1.005,0.895,0.453330241,0.546669759,0.944866327,2021-10-15
NFLX,2021-09-17,-0.001110516,"(2021, 9)",2021-09-01 00:00:00,SS,0.131025913,-0.131025913,590,16.15,16.225,0.496439993,0.503560007,16.187767,2021-10-15
PLTR,2021-09-17,0.171643872,"(2021, 9)",2021-09-01 00:00:00,LS,0.076538218,-0.076538218,30,1.015,2.24,0.604562039,0.395437961,1.499411502,2021-10-15
AMZN,2021-10-15,0.010278693,"(2021, 10)",2021-10-01 00:00:00,SS,0.039923145,-0.039923145,175,3.34375,7.92,0.619085448,0.380914552,5.086910218,2021-11-19
BABA,2021-10-15,-0.046669648,"(2021, 10)",2021-10-01 00:00:00,SS,-0.226809418,0.226809418,180,4.275,16.25,0.678712483,0.321287517,8.122418018,2021-11-19
INTC,2021-10-15,0.009484799,"(2021, 10)",2021-10-01 00:00:00,SS,0.011015688,-0.011015688,55,1.63,2.45,0.543159165,0.456840835,2.004609485,2021-11-19
MARA,2021-10-15,0.432776453,"(2021, 10)",2021-10-01 00:00:00,LS,-0.022397873,0.022397873,60,3.075,14.175,0.667384127,0.332615873,6.767036189,2021-11-19
SOFI,2021-10-15,0.080365566,"(2021, 10)",2021-10-01 00:00:00,LS,-0.143852829,0.143852829,22.5,0.61,3.75,0.727910199,0.272089801,1.464361975,2021-11-19
PLTR,2021-10-15,0.175427702,"(2021, 10)",2021-10-01 00:00:00,LS,-0.202088368,0.202088368,24,1.565,1.58,0.468152347,0.531847653,1.572977715,2021-11-19
AMZN,2021-11-19,0.008663518,"(2021, 11)",2021-11-01 00:00:00,SS,-0.049252261,0.049252261,192.5,2.39875,10.915,0.71621172,0.28378828,4.815561941,2021-12-17
BABA,2021-11-19,-0.060292636,"(2021, 11)",2021-11-01 00:00:00,SS,-0.068531616,0.068531616,155,2.685,17.25,0.748295036,0.251704964,6.351082798,2021-12-17
INTC,2021-11-19,0.021340836,"(2021, 11)",2021-11-01 00:00:00,SS,0.04674829,-0.04674829,50,1.05,1.48,0.547819982,0.452180018,1.244437408,2021-12-17
MARA,2021-11-19,0.403320534,"(2021, 11)",2021-11-01 00:00:00,LS,-0.356570416,0.356570416,80,3.35,28.575,0.729173785,0.270826215,10.18159128,2021-12-17
